x	G	delta_G	rs	theta
0.6269206686028029	0.07857458396123573	0.002164723396717806	1.0	4.0
0.8866022185309744	0.1345666078914345	0.056563813242663886	1.0	4.0
1.0858614466306435	0.17804746802134552	0.005559688909480872	1.0	4.0
1.2538413372056059	0.2536577637421463	0.029923484751106313	1.0	4.0
1.4018385092386305	0.2714419571213741	0.009139380290474576	1.0	4.0
1.535636748279014	0.32404142055282104	0.023016003976865144	1.0	4.0
1.7732044370619489	0.4626684278526859	0.12242826883800069	1.0	4.0
1.8807672164260207	0.4218574929496621	0.017806190513726346	1.0	4.0
1.9824993146822887	0.5324440885286776	0.03647673842247061	1.0	4.0
2.079265694354341	0.4665653023689422	0.02182229184236795	1.0	4.0
2.171717682643675	0.007036729721779822	0.6025378071476574	1.0	4.0
2.2603971837819365	0.562903608402096	0.024668415400612584	1.0	4.0
2.3457262577956963	1.444972166205281	0.4860195819958182	1.0	4.0
2.5076878850288233	0.6475274851313247	0.07701100682578037	1.0	4.0
2.5848623424798367	0.6378630652497135	0.03610851682619298	1.0	4.0
2.6598014449753116	0.6796928142186918	0.08700824894936131	1.0	4.0
2.7326875641316666	0.7435674627916766	0.039060225541192733	1.0	4.0
2.803677018477261	1.1487879780979038	0.29157813875863237	1.0	4.0
2.8729157053052314	0.7951285636865689	0.04698136597055703	1.0	4.0
2.9405234688206523	0.7338387777555222	0.06829159325563675	1.0	4.0
3.071273496558028	0.7845364461089143	0.07863226189211238	1.0	4.0
3.1346085536316264	0.8220976527791233	0.05829521352645454	1.0	4.0
3.196687851860738	0.8454857509790469	0.07240021918259106	1.0	4.0
3.2575791292743186	0.84248710238655	0.06399298744738556	1.0	4.0
3.376073784388321	0.9919800481575787	0.06917029840723055	1.0	4.0
3.4337917956762065	1.1332089488377528	0.13174730817976793	1.0	4.0
3.546403663506286	0.9034168051342424	0.3642631767072733	1.0	4.0
3.6013913111654943	0.9995435602803943	0.0827258886700743	1.0	4.0
3.655550470624399	0.8565662709330839	0.10594338288977527	1.0	4.0
3.7089176162062825	0.9295407712418569	0.09234444685908152	1.0	4.0
3.761529222234429	0.9324594419625005	0.11504312942840732	1.0	4.0
3.813416552414511	1.1151715925526247	0.09998917977283557	1.0	4.0
3.8646056598345875	0.9133949892325736	0.11481108869516617	1.0	4.0
3.9649986293645774	1.1443037458685794	0.14826100492192124	1.0	4.0
4.014254597650609	1.1488245104472028	0.1187086016574112	1.0	4.0
4.062916555528877	0.9136194142402587	0.15972771804552785	1.0	4.0
4.1110001348522145	1.0793677589776065	0.12491448530812596	1.0	4.0
4.158526178091069	0.7835105332123555	0.3069997882477428	1.0	4.0
4.2055155277158915	1.0546343938465472	0.1319313391660095	1.0	4.0
4.251989026197128	1.2001138090861745	0.24729708565263103	1.0	4.0
4.343440575904962	-2.8976005217348795	2.2175302148361142	1.0	4.0
4.388449890837233	1.2558338368211286	0.15163544714642666	1.0	4.0
4.43300588203726	0.6358381370302572	0.31138988946472246	1.0	4.0
4.477113760122658	0.9932865710949497	0.1618812249185962	1.0	4.0
4.520794367563873	0.882613514689025	0.23513962013306847	1.0	4.0
4.564058125596131	1.0566792444968658	0.18270384282132496	1.0	4.0
4.606915455454654	1.1579420752646947	0.19697606389605501	1.0	4.0
4.691452515591393	1.555264089908697	1.739755423069383	1.0	4.0
4.733153088340057	0.8858084238497178	0.19968755564767604	1.0	4.0
4.774494128473494	1.2385052834554313	0.38382409782307414	1.0	4.0
4.815475635991706	1.1316922874084314	0.20990757805480548	1.0	4.0
4.896412159358566	1.2689186133793056	0.21852772675137255	1.0	4.0
4.9363880176776656	0.6533942488132909	0.2753133332944803	1.0	4.0
