x	G	delta_G	rs	theta
0.8426819226796078	0.23415072957539695	0.0005489356845104718	10.0	2.0
1.1917307752708224	0.4391158713109754	0.001604792078923856	10.0	2.0
1.45956694176174	0.6145445466172826	0.0007066344857237779	10.0	2.0
1.6853638453592157	0.7584102600587503	0.00120666350463189	10.0	2.0
1.8842948045493302	0.8825865718654584	0.0008971532908065305	10.0	2.0
2.0641392714267672	0.9763801241647233	0.0012540404498036603	10.0	2.0
2.3834615505416448	1.1174717642451675	0.004672233818360164	10.0	2.0
2.5280457680388237	1.1582007625294433	0.0014335188923459221	10.0	2.0
2.6647932166475865	1.193216434348602	0.0020581198305983147	10.0	2.0
2.7948606534777936	1.2165611371845853	0.001825292563177616	10.0	2.0
2.91913388352348	1.2057542278021274	0.02775553603738986	10.0	2.0
3.0383319720151	1.238546198942905	0.00224838594927326	10.0	2.0
3.1530280868899703	1.2236800298399262	0.02525410217518509	10.0	2.0
3.3707276907184314	1.2474346052750693	0.0044816497834557715	10.0	2.0
3.474465876755311	1.2385658718484316	0.003106648301931238	10.0	2.0
3.5751975364300788	1.2289487489233197	0.005214528042727528	10.0	2.0
3.6731623581528865	1.2287957595063452	0.0037287980678578116	10.0	2.0
3.7685843984810483	1.193672255473184	0.01714848395580507	10.0	2.0
3.861651239648596	1.2076790687281473	0.004229879158214312	10.0	2.0
3.9525296214191123	1.2005060494957427	0.0053044066849162195	10.0	2.0
4.1282785428535345	1.176985489938326	0.006064270689770785	10.0	2.0
4.213409613398039	1.1726928728068973	0.005476709072336869	10.0	2.0
4.296852443836262	1.154758475499409	0.0063862002210000835	10.0	2.0
4.378700825285221	1.1447337799070967	0.0062752732000422055	10.0	2.0
4.537978984448179	1.1350317690618648	0.007087169008731233	10.0	2.0
4.615559870072927	1.1223253249340401	0.009868875692606483	10.0	2.0
4.766928311700902	1.128873652111673	0.026521385686444195	10.0	2.0
4.840835711909204	1.1138545530823256	0.009008938159930695	10.0	2.0
4.913638461183767	1.1040473813646225	0.010336044600055315	10.0	2.0
4.985373033847875	1.0956583680263603	0.01001442737586101	10.0	2.0
