x	G	delta_G	rs	theta
0.8426819226796078	0.15508454387054837	0.0004193063343292482	1.0	3.0
1.1917307752708224	0.28582388810292436	0.03281118028138041	1.0	3.0
1.4595669417617403	0.33798569255691124	0.0012254247896455698	1.0	3.0
1.6853638453592157	0.4352942717847863	0.01583511926888662	1.0	3.0
1.8842948045493302	0.48418705549917096	0.0020959239869302554	1.0	3.0
2.0641392714267672	0.5391190321647519	0.013775650401954482	1.0	3.0
2.3834615505416448	0.5199077274949921	0.07834896902802264	1.0	3.0
2.5280457680388233	0.7103902347544688	0.0041206987941008804	1.0	3.0
2.6647932166475865	0.7753923058529497	0.0213895005073661	1.0	3.0
2.7948606534777936	0.7982198441598776	0.005475659447463928	1.0	3.0
2.9191338835234806	1.221939163452623	0.4424271408662344	1.0	3.0
3.0383319720151	0.8636271331807932	0.006828209433678153	1.0	3.0
3.15302808688997	0.7960857489975841	0.3283371467324882	1.0	3.0
3.3707276907184314	0.9433383650787669	0.057020359329750005	1.0	3.0
3.474465876755311	0.9654486438167021	0.009703730496341226	1.0	3.0
3.5751975364300788	0.9543556853048274	0.06825878112335457	1.0	3.0
3.6731623581528865	0.9991744958092721	0.011665700667115595	1.0	3.0
3.7685843984810483	1.1255583771798754	0.22433510825557954	1.0	3.0
3.8616512396485954	1.0207696748272796	0.013949008449909182	1.0	3.0
3.952529621419113	0.9908536646576707	0.04691524519887254	1.0	3.0
4.1282785428535345	1.0448324166059808	0.05118357631443148	1.0	3.0
4.213409613398039	1.0324707735674998	0.01818228622654137	1.0	3.0
4.296852443836262	0.9503460973563799	0.04034893221406996	1.0	3.0
4.378700825285221	0.9632182297119928	0.02143873236754171	1.0	3.0
4.537978984448178	0.9863393849893202	0.024025893624832127	1.0	3.0
4.615559870072926	0.8759482338066243	0.12169180864456884	1.0	3.0
4.766928311700901	0.9421295831044457	0.3415221599565305	1.0	3.0
4.840835711909205	0.8512202264737379	0.03041995553930121	1.0	3.0
4.913638461183767	0.8713784643651616	0.08481312154176657	1.0	3.0
4.985373033847875	0.7933933875326179	0.03446879047419031	1.0	3.0
