x	G	delta_G	rs	theta
0.205875	0.013507310098084148	1.3507310098084148e-06	14.0	0.0
0.239625	0.018292680413830698	1.8292680413830698e-06	14.0	0.0
0.273375	0.023799007538256776	2.379900753825678e-06	14.0	0.0
0.307125	0.030024518396718228	3.002451839671823e-06	14.0	0.0
0.340875	0.03696717378885292	3.696717378885292e-06	14.0	0.0
0.374625	0.04462465160931611	4.462465160931612e-06	14.0	0.0
0.408375	0.052994325873579017	5.299432587357902e-06	14.0	0.0
0.442125	0.062073241117750255	6.2073241117750256e-06	14.0	0.0
0.475875	0.07185808182969995	7.185808182969995e-06	14.0	0.0
0.509625	0.08234513668003797	8.234513668003797e-06	14.0	0.0
0.543375	0.0935302574519006	9.353025745190061e-06	14.0	0.0
0.5771250000000001	0.10540881271354473	1.0540881271354473e-05	14.0	0.0
0.6108750000000001	0.11797563643248685	1.1797563643248684e-05	14.0	0.0
0.6446250000000001	0.1312249718891646	1.312249718891646e-05	14.0	0.0
0.6783750000000001	0.14515041140661583	1.4515041140661584e-05	14.0	0.0
0.7121250000000001	0.15974483256541663	1.5974483256541663e-05	14.0	0.0
0.7458750000000001	0.17500033171536858	1.750003317153686e-05	14.0	0.0
0.7796250000000001	0.19090815572297287	1.9090815572297287e-05	14.0	0.0
0.8133750000000001	0.20745863300293876	2.0745863300293877e-05	14.0	0.0
0.8471250000000001	0.22464110496993828	2.246411049699383e-05	14.0	0.0
0.8808750000000001	0.24244385911133065	2.4244385911133067e-05	14.0	0.0
0.9146250000000001	0.2608540649212229	2.608540649212229e-05	14.0	0.0
0.9483750000000001	0.2798577139502977	2.798577139502977e-05	14.0	0.0
0.9821250000000001	0.29943956521436443	2.9943956521436443e-05	14.0	0.0
1.015875	0.3195830971682264	3.1958309716822645e-05	14.0	0.0
1.049625	0.34027046739147826	3.402704673914783e-05	14.0	0.0
1.0833750000000002	0.36148248105098985	3.6148248105098986e-05	14.0	0.0
1.1171250000000001	0.3831985691032753	3.831985691032754e-05	14.0	0.0
1.150875	0.40539677708117894	4.0539677708117895e-05	14.0	0.0
1.184625	0.42805376517604143	4.2805376517604144e-05	14.0	0.0
1.2183750000000002	0.45114482018165125	4.511448201816513e-05	14.0	0.0
1.2521250000000002	0.4746438797127378	4.7464387971273785e-05	14.0	0.0
1.285875	0.4985235689515239	4.985235689515239e-05	14.0	0.0
1.319625	0.5227552500137618	5.227552500137618e-05	14.0	0.0
1.3533750000000002	0.5473090838635429	5.4730908386354296e-05	14.0	0.0
1.3871250000000002	0.5721541045465781	5.721541045465781e-05	14.0	0.0
1.420875	0.5972583053570213	5.972583053570213e-05	14.0	0.0
1.454625	0.6225887364054433	6.225887364054433e-05	14.0	0.0
1.4883750000000002	0.648111612917204	6.48111612917204e-05	14.0	0.0
1.5221250000000002	0.6737924334629135	6.737924334629135e-05	14.0	0.0
1.5558750000000001	0.6995961072073519	6.995961072073519e-05	14.0	0.0
1.589625	0.7254870891612883	7.254870891612884e-05	14.0	0.0
1.6233750000000002	0.751429522333031	7.514295223330309e-05	14.0	0.0
1.6571250000000002	0.777387385603889	7.77387385603889e-05	14.0	0.0
1.6908750000000001	0.8033246460944548	8.033246460944548e-05	14.0	0.0
1.724625	0.8292054147468935	8.292054147468934e-05	14.0	0.0
1.7583750000000002	0.8549941038222357	8.549941038222358e-05	14.0	0.0
1.7921250000000002	0.8806555850007587	8.806555850007588e-05	14.0	0.0
1.8258750000000001	0.9061553467775069	9.06155346777507e-05	14.0	0.0
1.859625	0.9314596498632428	9.314596498632429e-05	14.0	0.0
1.8933750000000003	0.9565356793329365	9.565356793329366e-05	14.0	0.0
1.9271250000000002	0.9813516923083971	9.813516923083972e-05	14.0	0.0
1.9608750000000001	1.0058771600179082	0.00010058771600179082	14.0	0.0
1.994625	1.0300829031426262	0.00010300829031426262	14.0	0.0
2.028375	1.0539412194359796	0.00010539412194359796	14.0	0.0
2.062125	1.077426002687118	0.00010774260026871181	14.0	0.0
2.0958750000000004	1.100512852191411	0.0001100512852191411	14.0	0.0
2.1296250000000003	1.1231791719888176	0.00011231791719888176	14.0	0.0
2.163375	1.145404259233422	0.0001145404259233422	14.0	0.0
2.1971249999999998	1.1671693811632164	0.00011671693811632166	14.0	0.0
2.230875	1.1884578402472081	0.00011884578402472082	14.0	0.0
2.264625	1.2092550271958113	0.00012092550271958114	14.0	0.0
2.298375	1.2295484616291843	0.00012295484616291845	14.0	0.0
2.332125	1.2493278203055425	0.00012493278203055426	14.0	0.0
2.365875	1.2685849529165103	0.00012685849529165105	14.0	0.0
2.399625	1.28731388555828	0.000128731388555828	14.0	0.0
2.433375	1.3055108120848562	0.00013055108120848562	14.0	0.0
2.467125	1.3231740736421607	0.00013231740736421608	14.0	0.0
2.500875	1.3403041267685527	0.00013403041267685527	14.0	0.0
2.534625	1.3569035005277423	0.00013569035005277425	14.0	0.0
2.568375	1.3729767432136428	0.0001372976743213643	14.0	0.0
2.602125	1.3885303592329254	0.00013885303592329256	14.0	0.0
2.635875	1.403572736829656	0.0001403572736829656	14.0	0.0
2.669625	1.418114067367053	0.0001418114067367053	14.0	0.0
2.703375	1.4321662569240554	0.00014321662569240554	14.0	0.0
2.737125	1.4457428309988898	0.00014457428309988898	14.0	0.0
2.770875	1.4588588331382222	0.00014588588331382224	14.0	0.0
2.804625	1.4715307183288835	0.00014715307183288834	14.0	0.0
2.838375	1.4837762419997071	0.00014837762419997073	14.0	0.0
2.872125	1.4956143454840052	0.00014956143454840053	14.0	0.0
2.905875	1.5070650387888702	0.00015070650387888704	14.0	0.0
2.939625	1.518149281506302	0.0001518149281506302	14.0	0.0
2.973375	1.528888862683391	0.0001528888862683391	14.0	0.0
