x	G	delta_G	rs	theta
0.6269217107263253	0.10917830737609191	0.003692154179227892	2.0	2.0
0.886601176407452	0.20927447383836384	0.008545111222041107	2.0	2.0
1.0858614466306435	0.28432935525524283	0.006222337247843014	2.0	2.0
1.2538413372056059	0.3611843915428008	0.009140661046668499	2.0	2.0
1.4018437198562423	0.44231135773120467	0.009280992740924752	2.0	2.0
1.535641958896626	0.5101951238768032	0.011367208753644682	2.0	2.0
1.7732044370619489	0.6439005262568783	0.02335412709226986	2.0	2.0
1.880762005808409	0.6697558223887035	0.015135936362719343	2.0	2.0
1.9825045252999005	0.7488022277885467	0.01602764001125053	2.0	2.0
2.079265694354341	0.7915766791330616	0.017666202824140238	2.0	2.0
2.171722893261287	0.8241672463628329	0.08731084825423237	2.0	2.0
2.2603971837819365	0.8546210487253905	0.019983608855937248	2.0	2.0
2.3457262577956963	0.8583272931110555	0.06944763514549905	2.0	2.0
2.5076826744112117	1.0060334446749641	0.02864625544465247	2.0	2.0
2.5848623424798367	1.0573264975468935	0.02828232038212818	2.0	2.0
2.6598014449753116	1.0190532419203449	0.03250744393501892	2.0	2.0
2.7326875641316666	1.0054353552042947	0.03110073006191919	2.0	2.0
2.803677018477261	0.998131995796538	0.05556475902354338	2.0	2.0
2.8729157053052314	1.0667776164813525	0.03756859453326811	2.0	2.0
2.9405182582030402	1.0769020935093605	0.04145020301151812	2.0	2.0
3.071273496558028	1.1121549033866467	0.04268921328174405	2.0	2.0
3.1346033430140143	1.1069611043854715	0.04311161284408548	2.0	2.0
3.196682641243126	1.1750707812679	0.04556636890984556	2.0	2.0
3.25758433989193	1.121154972108445	0.0497436899022631	2.0	2.0
3.376073784388321	1.1165709512939739	0.05304804103307921	2.0	2.0
3.4337865850585954	1.193698013469469	0.059679048647987676	2.0	2.0
3.5464088741238977	1.0109779895611652	0.09488490633140266	2.0	2.0
3.6013913111654943	1.1400680555349298	0.06341279816265026	2.0	2.0
3.655550470624399	1.3129246091668063	0.0704802091098842	2.0	2.0
3.7089176162062825	1.1190097974210607	0.07316846223944481	2.0	2.0
3.7615344328520415	0.928578209901202	0.07223245320267382	2.0	2.0
3.8134113417968987	0.9904937779915742	0.07490349666489464	2.0	2.0
3.864600449216976	1.0556571504798211	0.08193080765714943	2.0	2.0
3.9649986293645774	1.0780374712097902	0.08781247854015296	2.0	2.0
4.014259808268221	1.055683775608774	0.09041347224610173	2.0	2.0
4.062916555528877	1.104050509313455	0.09829978116771669	2.0	2.0
4.1110001348522145	1.003576201029445	0.09809408523993864	2.0	2.0
4.158531388708682	1.1174445648928173	0.11901744147323388	2.0	2.0
4.2055207383335045	1.0807766864573558	0.10847231226891538	2.0	2.0
4.251989026197128	0.9756524626697343	0.11748902984741832	2.0	2.0
4.34343536528735	0.8721988114999618	0.5130821216799277	2.0	2.0
4.388455101454843	0.8023389035925554	0.12136117819218004	2.0	2.0
4.43300588203726	0.9567303465682725	0.13528183190295637	2.0	2.0
4.47711897074027	0.7499213654394239	0.12699903100889545	2.0	2.0
4.520794367563873	1.1773859768943207	0.13639812563930379	2.0	2.0
4.564052914978518	0.9107303977057596	0.13592939056056216	2.0	2.0
4.606915455454654	0.5429261287157094	0.14267347627319796	2.0	2.0
4.691452515591393	0.8429173326125403	0.41484558882873157	2.0	2.0
4.733158298957669	0.8409554902659577	0.154765368906149	2.0	2.0
4.774488917855882	0.8892035378849182	0.1714260592740308	2.0	2.0
4.815475635991706	0.5685026416948593	0.16402281225021054	2.0	2.0
4.896417369976178	0.7651415654593361	0.1799376872953717	2.0	2.0
4.936382807060053	0.4048494488536528	0.18552613986901437	2.0	2.0
