x	G	delta_G	rs	theta
0.205875	0.013027848478130107	1.3027848478130106e-06	10.0	0.0
0.239625	0.017649696855142845	1.7649696855142846e-06	10.0	0.0
0.273375	0.022971877524151373	2.2971877524151375e-06	10.0	0.0
0.307125	0.028994277986914355	2.8994277986914355e-06	10.0	0.0
0.340875	0.03571667888046617	3.571667888046617e-06	10.0	0.0
0.374625	0.043138717199594154	4.3138717199594155e-06	10.0	0.0
0.408375	0.05125984404777803	5.1259844047778036e-06	10.0	0.0
0.442125	0.06007927677459578	6.007927677459578e-06	10.0	0.0
0.475875	0.06959594545044452	6.9595945450444525e-06	10.0	0.0
0.509625	0.07980843374000574	7.980843374000573e-06	10.0	0.0
0.543375	0.09071491436075148	9.071491436075148e-06	10.0	0.0
0.5771250000000001	0.10231307944792356	1.0231307944792356e-05	10.0	0.0
0.6108750000000001	0.1146000662884231	1.1460006628842312e-05	10.0	0.0
0.6446250000000001	0.1275723790283199	1.275723790283199e-05	10.0	0.0
0.6783750000000001	0.14122580709762372	1.4122580709762372e-05	10.0	0.0
0.7121250000000001	0.15555534122711287	1.5555534122711286e-05	10.0	0.0
0.7458750000000001	0.1705550880512511	1.7055508805125113e-05	10.0	0.0
0.7796250000000001	0.1862181843948854	1.862181843948854e-05	10.0	0.0
0.8133750000000001	0.20253671242636156	2.025367124263616e-05	10.0	0.0
0.8471250000000001	0.21950161692344983	2.1950161692344984e-05	10.0	0.0
0.8808750000000001	0.23710262593919615	2.3710262593919616e-05	10.0	0.0
0.9146250000000001	0.25532817617139814	2.5532817617139813e-05	10.0	0.0
0.9483750000000001	0.274165344331371	2.7416534433137105e-05	10.0	0.0
0.9821250000000001	0.2935997857752463	2.9359978577524634e-05	10.0	0.0
1.015875	0.3136156816050041	3.136156816050041e-05	10.0	0.0
1.049625	0.3341956953681412	3.341956953681412e-05	10.0	0.0
1.0833750000000002	0.35532094038610207	3.553209403861021e-05	10.0	0.0
1.1171250000000001	0.3769709586245402	3.7697095862454024e-05	10.0	0.0
1.150875	0.39912371188562434	3.991237118856244e-05	10.0	0.0
1.184625	0.4217555859566345	4.2175558595663453e-05	10.0	0.0
1.2183750000000002	0.4448414081928947	4.448414081928947e-05	10.0	0.0
1.2521250000000002	0.4683544788495208	4.683544788495208e-05	10.0	0.0
1.285875	0.4922666163084835	4.9226661630848354e-05	10.0	0.0
1.319625	0.5165482161778968	5.165482161778968e-05	10.0	0.0
1.3533750000000002	0.541168324072022	5.41168324072022e-05	10.0	0.0
1.3871250000000002	0.5660947217157652	5.660947217157653e-05	10.0	0.0
1.420875	0.5912940258588602	5.912940258588602e-05	10.0	0.0
1.454625	0.6167317993345985	6.167317993345986e-05	10.0	0.0
1.4883750000000002	0.6423726734578659	6.423726734578658e-05	10.0	0.0
1.5221250000000002	0.6681804808289776	6.681804808289777e-05	10.0	0.0
1.5558750000000001	0.6941183974948519	6.94118397494852e-05	10.0	0.0
1.589625	0.7201490933184869	7.201490933184869e-05	10.0	0.0
1.6233750000000002	0.7462348893224595	7.462348893224596e-05	10.0	0.0
1.6571250000000002	0.7723379207028183	7.723379207028182e-05	10.0	0.0
1.6908750000000001	0.7984203041566869	7.98420304156687e-05	10.0	0.0
1.724625	0.8244443081302637	8.244443081302638e-05	10.0	0.0
1.7583750000000002	0.8503725245736201	8.503725245736201e-05	10.0	0.0
1.7921250000000002	0.8761680407844452	8.761680407844453e-05	10.0	0.0
1.8258750000000001	0.9017946099342156	9.017946099342156e-05	10.0	0.0
1.859625	0.9272168188964914	9.272168188964915e-05	10.0	0.0
1.8933750000000003	0.9524002520373829	9.52400252037383e-05	10.0	0.0
1.9271250000000002	0.9773116496817323	9.773116496817324e-05	10.0	0.0
1.9608750000000001	1.0019190600341825	0.00010019190600341826	10.0	0.0
1.994625	1.02619198341088	0.000102619198341088	10.0	0.0
2.028375	1.0501015077239026	0.00010501015077239027	10.0	0.0
2.062125	1.0736204342552873	0.00010736204342552874	10.0	0.0
2.0958750000000004	1.0967233928594795	0.00010967233928594796	10.0	0.0
2.1296250000000003	1.119386945840759	0.00011193869458407591	10.0	0.0
2.163375	1.141589679864401	0.0001141589679864401	10.0	0.0
2.1971249999999998	1.1633122853756328	0.00011633122853756329	10.0	0.0
2.230875	1.1845376231175615	0.00011845376231175616	10.0	0.0
2.264625	1.205250777456892	0.0001205250777456892	10.0	0.0
2.298375	1.2254390963431963	0.00012254390963431963	10.0	0.0
2.332125	1.2450922178425579	0.00012450922178425578	10.0	0.0
2.365875	1.2642020832985499	0.000126420208329855	10.0	0.0
2.399625	1.282762937281638	0.0001282762937281638	10.0	0.0
2.433375	1.3007713145913453	0.00013007713145913455	10.0	0.0
2.467125	1.3182260146730207	0.00013182260146730207	10.0	0.0
2.500875	1.3351280639020777	0.00013351280639020777	10.0	0.0
2.534625	1.351480666272483	0.00013514806662724832	10.0	0.0
2.568375	1.3672891431025358	0.0001367289143102536	10.0	0.0
2.602125	1.3825608624391472	0.00013825608624391472	10.0	0.0
2.635875	1.3973051589015895	0.00013973051589015895	10.0	0.0
2.669625	1.4115332447567916	0.00014115332447567916	10.0	0.0
2.703375	1.4252581130606008	0.00014252581130606008	10.0	0.0
2.737125	1.4384944337329386	0.00014384944337329387	10.0	0.0
2.770875	1.451258443459556	0.0001451258443459556	10.0	0.0
2.804625	1.4635678303292403	0.00014635678303292403	10.0	0.0
2.838375	1.4754416141230853	0.00014754416141230854	10.0	0.0
2.872125	1.486900023172092	0.0001486900023172092	10.0	0.0
2.905875	1.4979643686913056	0.00014979643686913055	10.0	0.0
2.939625	1.508656917483294	0.0001508656917483294	10.0	0.0
2.973375	1.5190007638815592	0.00015190007638815592	10.0	0.0
3.007125	1.5290197017759248	0.0001529019701775925	10.0	0.0
3.040875	1.538738097527634	0.00015387380975276339	10.0	0.0
3.074625	1.5481807645424146	0.00015481807645424146	10.0	0.0
