x	G	delta_G	rs	theta
0.205875	0.011086069032396319	1.108606903239632e-06	0.7	0.0
0.239625	0.015125663185762219	1.512566318576222e-06	0.7	0.0
0.273375	0.019842610917127843	1.9842610917127844e-06	0.7	0.0
0.307125	0.02526097144985425	2.526097144985425e-06	0.7	0.0
0.340875	0.03140575769155567	3.1405757691555675e-06	0.7	0.0
0.374625	0.03830220943716774	3.830220943716774e-06	0.7	0.0
0.408375	0.04597503296054817	4.597503296054817e-06	0.7	0.0
0.442125	0.05444762161850133	5.444762161850133e-06	0.7	0.0
0.475875	0.06374127253610523	6.374127253610524e-06	0.7	0.0
0.509625	0.07387441460246681	7.387441460246681e-06	0.7	0.0
0.543375	0.08486186287421187	8.486186287421186e-06	0.7	0.0
0.5771250000000001	0.09671411405891849	9.67141140589185e-06	0.7	0.0
0.6108750000000001	0.10943669703760803	1.0943669703760804e-05	0.7	0.0
0.6446250000000001	0.12302959139623927	1.2302959139623927e-05	0.7	0.0
0.6783750000000001	0.1374867256894224	1.3748672568942242e-05	0.7	0.0
0.7121250000000001	0.1527955656800662	1.527955656800662e-05	0.7	0.0
0.7458750000000001	0.16893680111691975	1.6893680111691976e-05	0.7	0.0
0.7796250000000001	0.18588413776350352	1.8588413776350354e-05	0.7	0.0
0.8133750000000001	0.20360419941633637	2.0360419941633637e-05	0.7	0.0
0.8471250000000001	0.22205654259027605	2.2205654259027606e-05	0.7	0.0
0.8808750000000001	0.24119378444865625	2.4119378444865625e-05	0.7	0.0
0.9146250000000001	0.26096184246083887	2.6096184246083887e-05	0.7	0.0
0.9483750000000001	0.2813002822243401	2.8130028222434013e-05	0.7	0.0
0.9821250000000001	0.30214276793564676	3.0214276793564678e-05	0.7	0.0
1.015875	0.3234176081731898	3.2341760817318984e-05	0.7	0.0
1.049625	0.3450483880038819	3.450483880038819e-05	0.7	0.0
1.0833750000000002	0.3669546769726947	3.669546769726947e-05	0.7	0.0
1.1171250000000001	0.38905280130921877	3.890528013092188e-05	0.7	0.0
1.150875	0.41125666770644237	4.112566677064424e-05	0.7	0.0
1.184625	0.43347862530943393	4.3347862530943394e-05	0.7	0.0
1.2183750000000002	0.45563035210327174	4.556303521032718e-05	0.7	0.0
1.2521250000000002	0.47762375171223026	4.776237517122303e-05	0.7	0.0
1.285875	0.49937184671168444	4.9937184671168446e-05	0.7	0.0
1.319625	0.5207896549004617	5.207896549004617e-05	0.7	0.0
1.3533750000000002	0.5417950355692878	5.417950355692878e-05	0.7	0.0
1.3871250000000002	0.5623094936106501	5.623094936106501e-05	0.7	0.0
1.420875	0.5822589303229938	5.822589303229938e-05	0.7	0.0
1.454625	0.6015743309405239	6.0157433094052395e-05	0.7	0.0
1.4883750000000002	0.6201923802393617	6.201923802393618e-05	0.7	0.0
1.5221250000000002	0.6380559990000432	6.380559990000432e-05	0.7	0.0
1.5558750000000001	0.6551147956130657	6.551147956130658e-05	0.7	0.0
1.589625	0.6713254286659397	6.713254286659397e-05	0.7	0.0
1.6233750000000002	0.6866518779151434	6.866518779151433e-05	0.7	0.0
1.6571250000000002	0.7010656225938832	7.010656225938832e-05	0.7	0.0
1.6908750000000001	0.7145457275078986	7.145457275078987e-05	0.7	0.0
1.724625	0.7270788388003578	7.270788388003579e-05	0.7	0.0
1.7583750000000002	0.7386590925996672	7.386590925996673e-05	0.7	0.0
1.7921250000000002	0.7492879409804309	7.49287940980431e-05	0.7	0.0
1.8258750000000001	0.7589739007509767	7.589739007509768e-05	0.7	0.0
1.859625	0.7677322315175598	7.677322315175598e-05	0.7	0.0
1.8933750000000003	0.7755845502559827	7.755845502559827e-05	0.7	0.0
1.9271250000000002	0.7825583902400326	7.825583902400326e-05	0.7	0.0
1.9608750000000001	0.7886867126304882	7.886867126304883e-05	0.7	0.0
1.994625	0.7940073793195714	7.940073793195715e-05	0.7	0.0
2.028375	0.7985625957577985	7.985625957577986e-05	0.7	0.0
2.062125	0.802398332470355	8.02398332470355e-05	0.7	0.0
2.0958750000000004	0.8055637338079422	8.055637338079423e-05	0.7	0.0
2.1296250000000003	0.8081105221843381	8.081105221843381e-05	0.7	0.0
2.163375	0.8100924056431889	8.10092405643189e-05	0.7	0.0
2.1971249999999998	0.8115644960847207	8.115644960847207e-05	0.7	0.0
2.230875	0.8125827448849665	8.125827448849666e-05	0.7	0.0
2.264625	0.8132034019721974	8.132034019721975e-05	0.7	0.0
2.298375	0.8134825037040609	8.13482503704061e-05	0.7	0.0
2.332125	0.8134753941309637	8.134753941309638e-05	0.7	0.0
2.365875	0.8132362834523372	8.132362834523372e-05	0.7	0.0
2.399625	0.8128178466877828	8.128178466877829e-05	0.7	0.0
2.433375	0.8122708648087683	8.122708648087684e-05	0.7	0.0
2.467125	0.8116439098214354	8.116439098214355e-05	0.7	0.0
2.500875	0.8109830745685875	8.109830745685876e-05	0.7	0.0
2.534625	0.8103317473390415	8.103317473390415e-05	0.7	0.0
2.568375	0.80973043074353	8.0973043074353e-05	0.7	0.0
2.602125	0.8092166037449839	8.09216603744984e-05	0.7	0.0
2.635875	0.8088246252223259	8.088246252223259e-05	0.7	0.0
2.669625	0.8085856770044064	8.085856770044064e-05	0.7	0.0
2.703375	0.8085277439363036	8.085277439363036e-05	0.7	0.0
2.737125	0.8086756282344814	8.086756282344814e-05	0.7	0.0
2.770875	0.8090509951494241	8.090509951494241e-05	0.7	0.0
2.804625	0.8096724467824036	8.096724467824036e-05	0.7	0.0
2.838375	0.8105556207940057	8.105556207940058e-05	0.7	0.0
2.872125	0.8117133106920512	8.117133106920513e-05	0.7	0.0
2.905875	0.813155604391055	8.131556043910551e-05	0.7	0.0
2.939625	0.8148900377891797	8.148900377891797e-05	0.7	0.0
2.973375	0.8169217602062796	8.169217602062797e-05	0.7	0.0
3.007125	0.819253708662232	8.19253708662232e-05	0.7	0.0
3.040875	0.8218867881424494	8.218867881424495e-05	0.7	0.0
3.074625	0.824820055191328	8.24820055191328e-05	0.7	0.0
3.108375	0.8280509023886312	8.280509023886313e-05	0.7	0.0
3.142125	0.8315752414928931	8.315752414928931e-05	0.7	0.0
3.175875	0.8353876832745682	8.353876832745683e-05	0.7	0.0
3.209625	0.839481712305021	8.39481712305021e-05	0.7	0.0
3.243375	0.8438498552110555	8.438498552110556e-05	0.7	0.0
3.277125	0.8484838411445819	8.484838411445819e-05	0.7	0.0
3.3108750000000002	0.8533747534497169	8.533747534497169e-05	0.7	0.0
3.344625	0.8585131717321454	8.585131717321455e-05	0.7	0.0
3.378375	0.8638893037454647	8.638893037454647e-05	0.7	0.0
3.412125	0.8694931067045246	8.694931067045247e-05	0.7	0.0
3.445875	0.8753143978149801	8.753143978149802e-05	0.7	0.0
3.479625	0.881342953970342	8.81342953970342e-05	0.7	0.0
3.513375	0.8875686007121365	8.875686007121366e-05	0.7	0.0
3.547125	0.8939812906751159	8.939812906751159e-05	0.7	0.0
3.5808750000000003	0.9005711718479238	9.005711718479238e-05	0.7	0.0
3.614625	0.9073286460705788	9.073286460705789e-05	0.7	0.0
3.648375	0.9142444182642967	9.142444182642967e-05	0.7	0.0
