x	G	delta_G	rs	theta
0.205875	0.011424463369652246	1.1424463369652245e-06	2.0	0.0
0.239625	0.015519922410946326	1.5519922410946327e-06	2.0	0.0
0.273375	0.020262394571971393	2.0262394571971394e-06	2.0	0.0
0.307125	0.025661998103317155	2.5661998103317155e-06	2.0	0.0
0.340875	0.03172949492621174	3.1729494926211743e-06	2.0	0.0
0.374625	0.038476052387296684	3.847605238729669e-06	2.0	0.0
0.408375	0.04591298679897641	4.591298679897641e-06	2.0	0.0
0.442125	0.054051491810507314	5.405149181050732e-06	2.0	0.0
0.475875	0.06290235490879217	6.290235490879218e-06	2.0	0.0
0.509625	0.0724756655716946	7.24756655716946e-06	2.0	0.0
0.543375	0.08278051878461955	8.278051878461955e-06	2.0	0.0
0.5771250000000001	0.09382471777733385	9.382471777733385e-06	2.0	0.0
0.6108750000000001	0.10561447993718467	1.0561447993718468e-05	2.0	0.0
0.6446250000000001	0.11815414990237608	1.1815414990237608e-05	2.0	0.0
0.6783750000000001	0.1314459238310733	1.3144592383107331e-05	2.0	0.0
0.7121250000000001	0.1454895887762313	1.4548958877623131e-05	2.0	0.0
0.7458750000000001	0.1602822809708513	1.602822809708513e-05	2.0	0.0
0.7796250000000001	0.17581826664387826	1.7581826664387825e-05	2.0	0.0
0.8133750000000001	0.19208874874455675	1.9208874874455677e-05	2.0	0.0
0.8471250000000001	0.20908170265553488	2.0908170265553488e-05	2.0	0.0
0.8808750000000001	0.2267817436264115	2.2678174362641152e-05	2.0	0.0
0.9146250000000001	0.24517002826502327	2.4517002826502327e-05	2.0	0.0
0.9483750000000001	0.26422419198986374	2.6422419198986374e-05	2.0	0.0
0.9821250000000001	0.2839183238808049	2.839183238808049e-05	2.0	0.0
1.015875	0.3042229798745918	3.0422297987459182e-05	2.0	0.0
1.049625	0.32510523474474784	3.2510523474474785e-05	2.0	0.0
1.0833750000000002	0.3465287727911308	3.465287727911308e-05	2.0	0.0
1.1171250000000001	0.3684540166510853	3.684540166510853e-05	2.0	0.0
1.150875	0.39083829314044494	3.90838293140445e-05	2.0	0.0
1.184625	0.4136360345467215	4.136360345467215e-05	2.0	0.0
1.2183750000000002	0.4367990133364136	4.367990133364136e-05	2.0	0.0
1.2521250000000002	0.4602766078104971	4.6027660781049715e-05	2.0	0.0
1.285875	0.48401609585319855	4.840160958531986e-05	2.0	0.0
1.319625	0.5079629735745258	5.0796297357452585e-05	2.0	0.0
1.3533750000000002	0.532061295351342	5.32061295351342e-05	2.0	0.0
1.3871250000000002	0.55625403152857	5.5625403152857e-05	2.0	0.0
1.420875	0.5804834398540333	5.804834398540333e-05	2.0	0.0
1.454625	0.604691446589045	6.04691446589045e-05	2.0	0.0
1.4883750000000002	0.628820033162792	6.28820033162792e-05	2.0	0.0
1.5221250000000002	0.6528116242214607	6.528116242214607e-05	2.0	0.0
1.5558750000000001	0.6766094729616938	6.766094729616939e-05	2.0	0.0
1.589625	0.7001580397302565	7.001580397302565e-05	2.0	0.0
1.6233750000000002	0.723403360014878	7.234033600148781e-05	2.0	0.0
1.6571250000000002	0.7462933981415867	7.462933981415867e-05	2.0	0.0
1.6908750000000001	0.7687783832273252	7.687783832273252e-05	2.0	0.0
1.724625	0.7908111242085871	7.908111242085871e-05	2.0	0.0
